,repetition_number,weight_index,weight_tuple,num_iterations,vehicle_id,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward
463,11,11,"[0.3792007352210163, 0.6207992647789837]",14,1,0.23791926241423592,0.9096620380841011,3.330869673799303,12.735268533177415
464,12,11,"[0.3792007352210163, 0.6207992647789837]",20,0,0.2667857265975714,0.8659199157594166,5.335714531951427,17.318398315188333
465,12,11,"[0.3792007352210163, 0.6207992647789837]",20,1,0.290910812057081,0.8840994774337947,5.818216241141621,17.681989548675894
466,13,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.24083305587393494,0.8472070160337163,19.266644469914795,67.7765612826973
467,13,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.07063280128401375,0.34337974911205726,5.650624102721101,27.47037992896458
468,14,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.4018356671119879,0.848713967466163,32.146853368959036,67.89711739729304
469,14,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.39556975655301596,0.8513686969082581,31.64558052424128,68.10949575266065
470,15,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.45463177715082004,0.812062063979532,36.370542172065605,64.96496511836256
471,15,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.42771005932404355,0.8274667132556068,34.21680474592348,66.19733706044855
472,16,11,"[0.3792007352210163, 0.6207992647789837]",11,0,0.19996353159393546,0.8873937918537301,2.19959884753329,9.761331710391032
473,16,11,"[0.3792007352210163, 0.6207992647789837]",11,1,0.25616891377989903,0.9021576857829008,2.8178580515788894,9.923734543611909
474,17,11,"[0.3792007352210163, 0.6207992647789837]",16,0,0.2758539933043003,0.8760185846769056,4.413663892868805,14.01629735483049
475,17,11,"[0.3792007352210163, 0.6207992647789837]",16,1,0.23951954362894554,0.8995072047860473,3.8323126980631286,14.392115276576757
476,18,11,"[0.3792007352210163, 0.6207992647789837]",16,0,0.25355043502753255,0.8659651058168014,4.056806960440521,13.855441693068823
477,18,11,"[0.3792007352210163, 0.6207992647789837]",16,1,0.2975299319658702,0.8994565986898124,4.760478911453923,14.391305579036999
478,19,11,"[0.3792007352210163, 0.6207992647789837]",80,0,0.23758645662534378,0.8444644328752304,19.006916530027503,67.55715463001843
479,19,11,"[0.3792007352210163, 0.6207992647789837]",80,1,0.1231449262137356,0.6518487077117969,9.851594097098848,52.147896616943754
480,0,12,"[0.4137298225636373, 0.5862701774363628]",80,0,0.35962744456345497,0.8011254206634533,28.770195565076396,64.09003365307626
